id;Name;lon;lat;District;station_name;RouteNumbers
2502;«Электротехнический завод», улица Лётчика Бабушкина (2502);37.67211586;55.85426839;Бабушкинский район;Электротехнический завод;А93
2503;«Верхоянская ул.», улица Лётчика Бабушкина (2503);37.67334764;55.85730647;Бабушкинский район;Верхоянская ул.;А93
2504;«Ул. Коминтерна», улица Лётчика Бабушкина (2504);37.67412751;55.85991037;Бабушкинский район;Ул. Коминтерна;А93
2505;«Ул. Летчика Бабушкина», улица Лётчика Бабушкина (2505);37.67439758;55.86171826;Бабушкинский район;Ул. Летчика Бабушкина;А93
11238;«Северодвинская ул., 9», Северодвинская улица (11238);37.67983296;55.8883586;район Северное Медведково;Северодвинская ул., 9;А93
11239;«Северодвинская ул., 11», Северодвинская улица (11239);37.68155215;55.89170926;район Северное Медведково;Северодвинская ул., 11;А93
11240;«Северодвинская ул., 19», Северодвинская улица (11240);37.67885494;55.89346864;район Северное Медведково;Северодвинская ул., 19;А93
2506;«Студеный пр., 38», Студёный проезд (2506);37.67178993;55.89301683;район Северное Медведково;Студеный пр., 38;А93
2507;«Студеный пр.», улица Грекова (2507);37.66218938;55.89273979;район Северное Медведково;Студеный пр.;А93
9111;«Ул. Грекова, 16», улица Грекова (9111);37.66206058;55.88985824;район Северное Медведково;Ул. Грекова, 16;А93
9310;«Студеный пр., 15», Студёный проезд (9310);37.66804007;55.89311707;район Северное Медведково;Студеный пр., 15;А93
2514;«Северянинский путепровод», проспект Мира (2514);37.66994997;55.84620866;район Свиблово;Северянинский путепровод;А93
3418;«Северянинский путепровод», проспект Мира (3418);37.67075044;55.84540712;Ярославский район;Северянинский путепровод;А93
13912;«Метро Тушинская (выс.)», Тушинская площадь (13912);37.43716311;55.82622964;район Покровское-Стрешнево;Метро Тушинская (выс.);А930
1008933;«Митинский радиорынок», Пятницкое шоссе (1008933);37.38476764;55.84115027;район Митино;Митинский радиорынок;А930
9715;«2-я Мелитопольская ул.», Мелитопольский проезд (9715);37.57345828;55.54025534;район Южное Бутово;2-я Мелитопольская ул.;А94
9717;«Поликлиника», 2-я Мелитопольская улица (9717);37.57603196;55.5371194;район Южное Бутово;Поликлиника;А94
10432;«Ул. Адм. Лазарева, 58», улица Бунинская Аллея (10432);37.51348095;55.54203708;район Южное Бутово;Ул. Адм. Лазарева, 58;А94
9062;«Коктебельская ул., 4», Коктебельская улица (9062);37.58753062;55.5659492;район Северное Бутово;Коктебельская ул., 4;А94
9926;«Коктебельская ул., 4», Коктебельская улица (9926);37.58680278;55.5657278;район Северное Бутово;Коктебельская ул., 4;А94
9927;«Коктебельская ул.», Коктебельская улица (9927);37.58943205;55.56766607;район Северное Бутово;Коктебельская ул.;А94
8974;«Ул. Акад. Глушко», Куликовская улица (8974);37.56108507;55.56757267;район Северное Бутово;Ул. Акад. Глушко;А94
8975;«Ул. Акад. Глушко», Куликовская улица (8975);37.56163983;55.56770247;район Северное Бутово;Ул. Акад. Глушко;А94
11178;«3-й мкр. Северного Бутова», улица Грина (11178);37.56487503;55.56861241;район Северное Бутово;3-й мкр. Северного Бутова;А94
11187;«Ул. Грина, 9», улица Грина (11187);37.56971538;55.56743192;район Северное Бутово;Ул. Грина, 9;А94
10867;«Ул. Горчакова», Бартеневская улица (10867);37.52597468;55.54928255;район Южное Бутово;Ул. Горчакова;А94
10355;«2-й мкр. Южного Бутова», улица Поляны (10355);37.54511283;55.55106946;район Южное Бутово;2-й мкр. Южного Бутова;А94
10356;«2-й мкр. Южного Бутова», улица Поляны (10356);37.54666871;55.55060963;район Южное Бутово;2-й мкр. Южного Бутова;А94
